Collection Name,Title#1,Name#1,Name URI#1,Resource Type#1,Resource Type URI#1,Genre#1,Genre URI#1,Date Created#1,Language Term#1,Language Term URI#1,Language Term Type#1,Extent#1,Form#1,Form URI#1,Form#2,Form URI#2,Abstract#1,Subject Topic#1,Subject Topic URI#1,Subject Topic#2,Subject Topic URI#2,Subject Topic#3,Subject Topic URI#3,Subject Topic#4,Subject Topic URI#4,Subject Name#1,Subject Name URI#1,Subject Geographic#1,Subject Geographic URI#1,Subject Genre#1,Subject Genre URI#1,Identifier#1,Identifier ARK#1,Physical Location#1,Shelf Locator#1,Date Captured#1,Internet Media Type#1,Digital Origin#1,Access Condition#1,Access Condition URI#1,ln_RECORDID,ln_RECORD_BATCHID,lnexp_MEDIAFILENAME,lnexp_PAGEURL
Sturtevant Plates,"""A Rural Home"" J.B. Sturtevant","Sturtevant, J. Bevier (Joseph Bevier), 1851-1910",http://id.worldcat.org/fast/352744,Still image,http://id.loc.gov/vocabulary/resourceTypes/img,Photographs,http://id.loc.gov/authorities/genreForms/gf2017027249,1886/1910,English,http://id.loc.gov/vocabulary/iso639-2/eng,eng,1 glass plate negative,glass plate negatives,http://vocab.getty.edu/page/aat/300393160,black-and-white photographs,http://vocab.getty.edu/page/aat/300128347,Three women and one man pose in the front yard of a rural house.,Portraits,http://id.worldcat.org/fast/1072324,Families,http://id.worldcat.org/fast/1728849,Dwellings,http://id.worldcat.org/fast/899978,Country homes,http://id.worldcat.org/fast/881388,,,"[Boulder (Boulder, Colorado, United States, North America) (populated place)]",GNIS: 178680,,,narv_sturtevant_57_07.jpg,https://ark.colorado.edu/ark:/47540/mr653909g6zv,CU Museum of Natural History,COU: 1111,2020,image/jpeg,reformatted digital,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/,1004,4897,narv_sturtevant_57_07.jpg,https://cudl.colorado.edu//luna/servlet/detail/CUB~26~26~1004~295069
Sturtevant Plates,"""Arapahoe Storm-Cloud"" Rocky Mountain Joe. Boulder, Colo. 1906","Sturtevant, J. Bevier (Joseph Bevier), 1851-1910",http://id.worldcat.org/fast/352744,Still image,http://id.loc.gov/vocabulary/resourceTypes/img,Photographs,http://id.loc.gov/authorities/genreForms/gf2017027249,[1906],English,http://id.loc.gov/vocabulary/iso639-2/eng,eng,1 glass plate negative,glass plate negatives,http://vocab.getty.edu/page/aat/300393160,black-and-white photographs,http://vocab.getty.edu/page/aat/300128347,"A photograph of a painting on a slab of rock with the title that reads ""Arapahoe Storm-Cloud. Rocky Mountain Joe. Boulder, Colo. 1906."" The painting depicts a Native American man with his hands raised beside a horse and looking at the Flatirons. Native American objects are painted on the left and right side of the portrait.",Indians of North America,http://id.worldcat.org/fast/969633,Horses,http://id.worldcat.org/fast/960603,Arapaho Indians,http://id.worldcat.org/fast/812707,,,Rocky Mountain Joe,local,"[Boulder (Boulder, Colorado, United States, North America) (populated place)]",GNIS: 178680,Painting,http://id.worldcat.org/fast/1050567,narv_sturtevant_57_18.jpg,https://ark.colorado.edu/ark:/47540/3v2k2890z45h,CU Museum of Natural History,COU: 1111,2020,image/jpeg,reformatted digital,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/,1015,4897,narv_sturtevant_57_18.jpg,https://cudl.colorado.edu//luna/servlet/detail/CUB~26~26~1015~295058
Sturtevant Plates,"""Jacobs Lader"" Ward Colo. No.110 J.B. Sturtevant","Sturtevant, J. Bevier (Joseph Bevier), 1851-1910",http://id.worldcat.org/fast/352744,Still image,http://id.loc.gov/vocabulary/resourceTypes/img,Photographs,http://id.loc.gov/authorities/genreForms/gf2017027249,1886/1910,English,http://id.loc.gov/vocabulary/iso639-2/eng,eng,1 glass plate negative,glass plate negatives,http://vocab.getty.edu/page/aat/300393160,black-and-white photographs,http://vocab.getty.edu/page/aat/300128347,"Four women, two men and three boys pose on steep steps known as 'Jacob's Ladder' in Ward, Colorado. The stairs are placed in a neighborhood with housing built along the hillside.",Neighborhoods,http://id.worldcat.org/fast/1715963,Dwellings,http://id.worldcat.org/fast/899978,Portraits,http://id.worldcat.org/fast/1072324,Stairs,http://id.worldcat.org/fast/1131380,,,"Ward (Boulder, Colorado, United States, North America) (populated place)",GNIS: 178487,,,narv_sturtevant_43_xx655.jpg,https://ark.colorado.edu/ark:/47540/474h8w87273d,CU Museum of Natural History,COU: 1111,2020,image/jpeg,reformatted digital,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/,280,4897,narv_sturtevant_43_xx655.jpg,https://cudl.colorado.edu//luna/servlet/detail/CUB~26~26~280~294335
Sturtevant Plates,"""Old Shellbark""","Sturtevant, J. Bevier (Joseph Bevier), 1851-1910",http://id.worldcat.org/fast/352744,Still image,http://id.loc.gov/vocabulary/resourceTypes/img,Photographs,http://id.loc.gov/authorities/genreForms/gf2017027249,1886/1910,English,http://id.loc.gov/vocabulary/iso639-2/eng,eng,1 glass plate negative,glass plate negatives,http://vocab.getty.edu/page/aat/300393160,black-and-white photographs,http://vocab.getty.edu/page/aat/300128347,A man sits on the back of a donkey and they pose in an empty field.,Donkeys,http://id.worldcat.org/fast/896848,Portraits,http://id.worldcat.org/fast/1072324,Mules,http://id.worldcat.org/fast/1028771,,,,,"[Boulder (Boulder, Colorado, United States, North America) (populated place)]",GNIS: 178680,,,narv_sturtevant_58_07.jpg,https://ark.colorado.edu/ark:/47540/nk2c1366056v,CU Museum of Natural History,COU: 1111,2020,image/jpeg,reformatted digital,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/,1029,4897,narv_sturtevant_58_07.jpg,https://cudl.colorado.edu//luna/servlet/detail/CUB~26~26~1029~295119
Sturtevant Plates,"""The God-Shine."" by Rocky Mountain Joe 1905?","Sturtevant, J. Bevier (Joseph Bevier), 1851-1910",http://id.worldcat.org/fast/352744,Still image,http://id.loc.gov/vocabulary/resourceTypes/img,Photographs,http://id.loc.gov/authorities/genreForms/gf2017027249,[1905],English,http://id.loc.gov/vocabulary/iso639-2/eng,eng,1 glass plate negative,glass plate negatives,http://vocab.getty.edu/page/aat/300393160,black-and-white photographs,http://vocab.getty.edu/page/aat/300128347,"Photograph of a painting titled ""The God-Shine."" by Rocky Mountain Joe in 1905. The scene was painted on a stone slab.",Crosses,http://id.worldcat.org/fast/884187,Portraits,http://id.worldcat.org/fast/1072324,Prayers and devotions,http://id.worldcat.org/fast/1423909,,,Rocky Mountain Joe,local,"[Boulder (Boulder, Colorado, United States, North America) (populated place)]",GNIS: 178680,Painting,http://id.worldcat.org/fast/1050567,narv_sturtevant_57_15.jpg,https://ark.colorado.edu/ark:/47540/295n1x41f2qq,CU Museum of Natural History,COU: 1111,2020,image/jpeg,reformatted digital,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/,1012,4897,narv_sturtevant_57_15.jpg,https://cudl.colorado.edu//luna/servlet/detail/CUB~26~26~1012~295061
Sturtevant Plates,"12 St. R.R. Crossing, June 1st, 1894 Meile & Sturtevant","Sturtevant, J. Bevier (Joseph Bevier), 1851-1910",http://id.worldcat.org/fast/352744,Still image,http://id.loc.gov/vocabulary/resourceTypes/img,Photographs,http://id.loc.gov/authorities/genreForms/gf2017027249,1894-06-01,English,http://id.loc.gov/vocabulary/iso639-2/eng,eng,1 glass plate negative,glass plate negatives,http://vocab.getty.edu/page/aat/300393160,black-and-white photographs,http://vocab.getty.edu/page/aat/300128347,A group of men stand on protruding land in the center of flood waters during the 1894 flood in Boulder. Water flooded more than 6 blocks north of Boulder Creek. They are surrounded by collapsed trees and a telephone pole. The railroad tracks are broken at the bottom of the photograph.,Floods,http://id.worldcat.org/fast/927573,Natural disasters,http://id.worldcat.org/fast/1033994,Men,http://id.worldcat.org/fast/1015978,Railroad tracks,http://id.worldcat.org/fast/1431160,"Meile, Louis",local,"Boulder (Boulder, Colorado, United States, North America) (populated place)",GNIS: 178680,,,narv_sturtevant_42_xx567.jpg,https://ark.colorado.edu/ark:/47540/575w3406v8kb,CU Museum of Natural History,COU: 1111,2020,image/jpeg,reformatted digital,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/,233,4897,narv_sturtevant_42_xx567.jpg,https://cudl.colorado.edu//luna/servlet/detail/CUB~26~26~233~294263
Sturtevant Plates,12th St. East No.123 Bass Photo,"Sturtevant, J. Bevier (Joseph Bevier), 1851-1910",http://id.worldcat.org/fast/352744,Still image,http://id.loc.gov/vocabulary/resourceTypes/img,Photographs,http://id.loc.gov/authorities/genreForms/gf2017027249,1894-05-30/1894-06-03,English,http://id.loc.gov/vocabulary/iso639-2/eng,eng,1 glass plate negative,glass plate negatives,http://vocab.getty.edu/page/aat/300393160,black-and-white photographs,http://vocab.getty.edu/page/aat/300128347,A group of people looking at flood waters from the shore during the 1894 flood in Boulder. Water flooded more than 6 blocks north of Boulder Creek. There are several collapsed trees and building in the background.,Floods,http://id.worldcat.org/fast/927573,Natural disasters,http://id.worldcat.org/fast/1033994,Cities and towns,http://id.worldcat.org/fast/861748,,,"Bass, Lawrence P.",local,"Boulder (Boulder, Colorado, United States, North America) (populated place)",GNIS: 178680,,,narv_sturtevant_42_xx566.jpg,https://ark.colorado.edu/ark:/47540/3g535365r11m,CU Museum of Natural History,COU: 1111,2020,image/jpeg,reformatted digital,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/,232,4897,narv_sturtevant_42_xx566.jpg,https://cudl.colorado.edu//luna/servlet/detail/CUB~26~26~232~294264
Sturtevant Plates,"12th St. Looking North, Boulder, Colo., J.B Sturtevant","Sturtevant, J. Bevier (Joseph Bevier), 1851-1910",http://id.worldcat.org/fast/352744,Still image,http://id.loc.gov/vocabulary/resourceTypes/img,Photographs,http://id.loc.gov/authorities/genreForms/gf2017027249,Circa 1900,English,http://id.loc.gov/vocabulary/iso639-2/eng,eng,1 glass plate negative,glass plate negatives,http://vocab.getty.edu/page/aat/300393160,black-and-white photographs,http://vocab.getty.edu/page/aat/300128347,"12th and Pine streets in Boulder, Colorado. The road is dirt and a wagon or carriage stand extends into the street.",Dwellings,http://id.worldcat.org/fast/899978,Neighborhoods,http://id.worldcat.org/fast/1715963,,,,,,,"Boulder (Boulder, Colorado, United States, North America) (populated place)",GNIS: 178680,,,narv_sturtevant_39_xx027.jpg,https://ark.colorado.edu/ark:/47540/4k7v0t73r4nc,CU Museum of Natural History,COU: 1111,2020,image/jpeg,reformatted digital,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/,23,4897,narv_sturtevant_39_xx027.jpg,https://cudl.colorado.edu//luna/servlet/detail/CUB~26~26~23~294102
Sturtevant Plates,"15th Street, June 1st, 1894, M. and S. Photog. Boulder, Colo.","Sturtevant, J. Bevier (Joseph Bevier), 1851-1910",http://id.worldcat.org/fast/352744,Still image,http://id.loc.gov/vocabulary/resourceTypes/img,Photographs,http://id.loc.gov/authorities/genreForms/gf2017027249,1894-06-01,English,http://id.loc.gov/vocabulary/iso639-2/eng,eng,1 glass plate negative,glass plate negatives,http://vocab.getty.edu/page/aat/300393160,black-and-white photographs,http://vocab.getty.edu/page/aat/300128347,"15th Street in Boulder, Colorado. image is of the 1894 flood in Boulder, water flooded more than 6 blocks north of Boulder Creek.",Floods,http://id.worldcat.org/fast/927573,Cities and towns,http://id.worldcat.org/fast/861748,Natural disasters,http://id.worldcat.org/fast/1033994,,,,,"Boulder (Boulder, Colorado, United States, North America) (populated place)",GNIS: 178680,,,narv_sturtevant_40_xx380.jpg,https://ark.colorado.edu/ark:/47540/96934d36j4v6,CU Museum of Natural History,COU: 1111,2020,image/jpeg,reformatted digital,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/,113,4897,narv_sturtevant_40_xx380.jpg,https://cudl.colorado.edu//luna/servlet/detail/CUB~26~26~113~294129
Sturtevant Plates,"18th and Goss looking East, June 1st, 1894, M. and S. Photog. Boulder, Colo.","Sturtevant, J. Bevier (Joseph Bevier), 1851-1910",http://id.worldcat.org/fast/352744,Still image,http://id.loc.gov/vocabulary/resourceTypes/img,Photographs,http://id.loc.gov/authorities/genreForms/gf2017027249,1894-06-01,English,http://id.loc.gov/vocabulary/iso639-2/eng,eng,1 glass plate negative,glass plate negatives,http://vocab.getty.edu/page/aat/300393160,black-and-white photographs,http://vocab.getty.edu/page/aat/300128347,"18th and Goss looking East in Boulder, Colorado. Image is of the 1894 flood in Boulder, water flooded more than 6 blocks north of Boulder Creek.",Floods,http://id.worldcat.org/fast/927573,Cities and towns,http://id.worldcat.org/fast/861748,Natural disasters,http://id.worldcat.org/fast/1033994,,,,,"Boulder (Boulder, Colorado, United States, North America) (populated place)",GNIS: 178680,,,narv_sturtevant_40_xx379.jpg,https://ark.colorado.edu/ark:/47540/2r8r9598k1zf,CU Museum of Natural History,COU: 1111,2020,image/jpeg,reformatted digital,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/,112,4897,narv_sturtevant_40_xx379.jpg,https://cudl.colorado.edu//luna/servlet/detail/CUB~26~26~112~294130
Sturtevant Plates,18th St. No.120 Bass Photo.,"Sturtevant, J. Bevier (Joseph Bevier), 1851-1910",http://id.worldcat.org/fast/352744,Still image,http://id.loc.gov/vocabulary/resourceTypes/img,Photographs,http://id.loc.gov/authorities/genreForms/gf2017027249,1894-05-30/1894-06-03,English,http://id.loc.gov/vocabulary/iso639-2/eng,eng,1 glass plate negative,glass plate negatives,http://vocab.getty.edu/page/aat/300393160,black-and-white photographs,http://vocab.getty.edu/page/aat/300128347,Partially submerged buildings in flood waters during the 1894 flood in Boulder. Water flooded more than 6 blocks north of Boulder Creek.,Floods,http://id.worldcat.org/fast/927573,Natural disasters,http://id.worldcat.org/fast/1033994,Neighborhoods,http://id.worldcat.org/fast/1715963,Dwellings,http://id.worldcat.org/fast/899978,"Bass, Lawrence P.",local,"Boulder (Boulder, Colorado, United States, North America) (populated place)",GNIS: 178680,,,narv_sturtevant_42_xx581.jpg,https://ark.colorado.edu/ark:/47540/sm4m9468h2jh,CU Museum of Natural History,COU: 1111,2020,image/jpeg,reformatted digital,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/,245,4897,narv_sturtevant_42_xx581.jpg,https://cudl.colorado.edu//luna/servlet/detail/CUB~26~26~245~294251
Sturtevant Plates,19th St. looking east No.122 Bass Photo,"Sturtevant, J. Bevier (Joseph Bevier), 1851-1910",http://id.worldcat.org/fast/352744,Still image,http://id.loc.gov/vocabulary/resourceTypes/img,Photographs,http://id.loc.gov/authorities/genreForms/gf2017027249,1894-05-30/1894-06-03,English,http://id.loc.gov/vocabulary/iso639-2/eng,eng,1 glass plate negative,glass plate negatives,http://vocab.getty.edu/page/aat/300393160,black-and-white photographs,http://vocab.getty.edu/page/aat/300128347,"Trees, homes and a shed are partially submerged in flood waters during the 1894 flood in Boulder. Water flooded more than 6 blocks north of Boulder Creek.",Floods,http://id.worldcat.org/fast/927573,Natural disasters,http://id.worldcat.org/fast/1033994,Neighborhoods,http://id.worldcat.org/fast/1715963,Dwellings,http://id.worldcat.org/fast/899978,"Bass, Lawrence P.",local,"Boulder (Boulder, Colorado, United States, North America) (populated place)",GNIS: 178680,,,narv_sturtevant_42_xx571.jpg,https://ark.colorado.edu/ark:/47540/ms8d7725f00k,CU Museum of Natural History,COU: 1111,2020,image/jpeg,reformatted digital,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/,237,4897,narv_sturtevant_42_xx571.jpg,https://cudl.colorado.edu//luna/servlet/detail/CUB~26~26~237~294259
Sturtevant Plates,"3rd Grade, 1900. J.B. Sturtevant","Sturtevant, J. Bevier (Joseph Bevier), 1851-1910",http://id.worldcat.org/fast/352744,Still image,http://id.loc.gov/vocabulary/resourceTypes/img,Photographs,http://id.loc.gov/authorities/genreForms/gf2017027249,1886/1910,English,http://id.loc.gov/vocabulary/iso639-2/eng,eng,1 glass plate negative,glass plate negatives,http://vocab.getty.edu/page/aat/300393160,black-and-white photographs,http://vocab.getty.edu/page/aat/300128347,"A third grade class of thirty-six children and one woman pose while holding baskets, bags and boxes that might be their lunch. The woman is holding a drinking cup and a book. The Flatirons in the background.",School children,http://id.worldcat.org/fast/1107147,Picnics,http://id.worldcat.org/fast/1732289,Portraits,http://id.worldcat.org/fast/1072324,,,,,"Boulder (Boulder, Colorado, United States, North America) (populated place)",GNIS: 178680,,,narv_sturtevant_43_xx718.jpg,https://ark.colorado.edu/ark:/47540/x74k4p18x4xb,CU Museum of Natural History,COU: 1111,2020,image/jpeg,reformatted digital,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/,308,4897,narv_sturtevant_43_xx718.jpg,https://cudl.colorado.edu//luna/servlet/detail/CUB~26~26~308~294307
Sturtevant Plates,"8th grade Highland School, Boulder, Colorado, J.B. Sturtevant","Sturtevant, J. Bevier (Joseph Bevier), 1851-1910",http://id.worldcat.org/fast/352744,Still image,http://id.loc.gov/vocabulary/resourceTypes/img,Photographs,http://id.loc.gov/authorities/genreForms/gf2017027249,1886/1910,English,http://id.loc.gov/vocabulary/iso639-2/eng,eng,1 glass plate negative,glass plate negatives,http://vocab.getty.edu/page/aat/300393160,black-and-white photographs,http://vocab.getty.edu/page/aat/300128347,"Class photograph of the 8th grade students outside the Highland School in Boulder, Colorado. [Cataloger's note: there are two glass plate negatives plates of xx007. One is a negative image and one is a positive.]",School children,http://id.worldcat.org/fast/1107147,Rural schools,http://id.worldcat.org/fast/1101819,Portraits,http://id.worldcat.org/fast/1072324,,,,,"Boulder (Boulder, Colorado, United States, North America) (populated place)",GNIS: 178680,,,narv_sturtevant_39_xx007.jpg,https://ark.colorado.edu/ark:/47540/0v195193s2mb,CU Museum of Natural History,COU: 1111,2020,image/jpeg,reformatted digital,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/,7,4897,narv_sturtevant_39_xx007.jpg,https://cudl.colorado.edu//luna/servlet/detail/CUB~26~26~7~294054
Sturtevant Plates,"9th Street looking west, M. and S. Photog., Boulder Colo.","Sturtevant, J. Bevier (Joseph Bevier), 1851-1910",http://id.worldcat.org/fast/352744,Still image,http://id.loc.gov/vocabulary/resourceTypes/img,Photographs,http://id.loc.gov/authorities/genreForms/gf2017027249,1886/1910,English,http://id.loc.gov/vocabulary/iso639-2/eng,eng,1 glass plate negative,glass plate negatives,http://vocab.getty.edu/page/aat/300393160,black-and-white photographs,http://vocab.getty.edu/page/aat/300128347,"View of a train engine and other buildings submerged in flood waters. Image is of the 1894 flood in Boulder, water flooded more than 6 blocks north of Boulder Creek.",Floods,http://id.worldcat.org/fast/927573,Cities and towns,http://id.worldcat.org/fast/861748,Natural disasters,http://id.worldcat.org/fast/1033994,Locomotives,http://id.worldcat.org/fast/1001752,"Meile, Louis",local,"Boulder (Boulder, Colorado, United States, North America) (populated place)",GNIS: 178680,,,narv_sturtevant_54_14.jpg,https://ark.colorado.edu/ark:/47540/sw4c7n60778t,CU Museum of Natural History,COU: 1111,2020,image/jpeg,reformatted digital,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/,911,4897,narv_sturtevant_54_14.jpg,https://cudl.colorado.edu//luna/servlet/detail/CUB~26~26~911~294976
Sturtevant Plates,"A corner in Boulder, Colo. 1899, J.B. Sturtevant","Sturtevant, J. Bevier (Joseph Bevier), 1851-1910",http://id.worldcat.org/fast/352744,Still image,http://id.loc.gov/vocabulary/resourceTypes/img,Photographs,http://id.loc.gov/authorities/genreForms/gf2017027249,1899,English,http://id.loc.gov/vocabulary/iso639-2/eng,eng,1 glass plate negative,glass plate negatives,http://vocab.getty.edu/page/aat/300393160,black-and-white photographs,http://vocab.getty.edu/page/aat/300128347,"Exterior view of the Boulder County Courthouse in Boulder, Colorado in 1899. Taken a few minutes after image identifier 39_xx21 and taken from 14th Street across Pearl Street. Boulder National Bank can be seen in the foreground. A food cart and wagons visible on Pearl. Photo taken in summer, as trees are in full foliage.",Courthouses,http://id.worldcat.org/fast/881720,Banks and banking,http://id.worldcat.org/fast/826867,Horse-drawn vehicles,http://id.worldcat.org/fast/960548,Street scenes,local,,,"Boulder (Boulder, Colorado, United States, North America) (populated place)",GNIS: 178680,,,narv_sturtevant_39_xx023.jpg,https://ark.colorado.edu/ark:/47540/h6276c45v9hq,CU Museum of Natural History,COU: 1111,2020,image/jpeg,reformatted digital,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/,21,4897,narv_sturtevant_39_xx023.jpg,https://cudl.colorado.edu//luna/servlet/detail/CUB~26~26~21~294104
Sturtevant Plates,"A corner in Boulder, Colo. 1899, J.B. Sturtevant","Sturtevant, J. Bevier (Joseph Bevier), 1851-1910",http://id.worldcat.org/fast/352744,Still image,http://id.loc.gov/vocabulary/resourceTypes/img,Photographs,http://id.loc.gov/authorities/genreForms/gf2017027249,1899,English,http://id.loc.gov/vocabulary/iso639-2/eng,eng,1 glass plate negative,glass plate negatives,http://vocab.getty.edu/page/aat/300393160,black-and-white photographs,http://vocab.getty.edu/page/aat/300128347,"Exterior view of the Boulder County Courthouse in Boulder, Colorado. Image taken from 14th Street across Pearl Street. Boulder National Bank can be seen in the foreground. A food cart and wagons visible on Pearl. Photo taken in summer, as trees are in full foliage.",Courthouses,http://id.worldcat.org/fast/881720,Banks and banking,http://id.worldcat.org/fast/826867,Horse-drawn vehicles,http://id.worldcat.org/fast/960548,Street scenes,local,,,"Boulder (Boulder, Colorado, United States, North America) (populated place)",GNIS: 178680,,,narv_sturtevant_39_xx021.jpg,https://ark.colorado.edu/ark:/47540/ck1q8x73n64v,CU Museum of Natural History,COU: 1111,2020,image/jpeg,reformatted digital,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/,19,4897,narv_sturtevant_39_xx021.jpg,https://cudl.colorado.edu//luna/servlet/detail/CUB~26~26~19~294106
Sturtevant Plates,A family of nine pose for a portrait outside their log cabin,"Sturtevant, J. Bevier (Joseph Bevier), 1851-1910",http://id.worldcat.org/fast/352744,Still image,http://id.loc.gov/vocabulary/resourceTypes/img,Photographs,http://id.loc.gov/authorities/genreForms/gf2017027249,1886/1910,English,http://id.loc.gov/vocabulary/iso639-2/eng,eng,1 glass plate negative,glass plate negatives,http://vocab.getty.edu/page/aat/300393160,black-and-white photographs,http://vocab.getty.edu/page/aat/300128347,A family of nine standing in a line to pose for a portrait outside of their log cabin,Log cabins,http://id.worldcat.org/fast/1001885,Portraits,http://id.worldcat.org/fast/1072324,Dwellings,http://id.worldcat.org/fast/899978,Families,http://id.worldcat.org/fast/1728849,,,"[Colorado (United States, North America) (first order administrative division)]",http://id.loc.gov/authorities/names/n80125532,,,narv_sturtevant_41_xx443.jpg,https://ark.colorado.edu/ark:/47540/wn0k2f9915n0,CU Museum of Natural History,COU: 1111,2020,image/jpeg,reformatted digital,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/,155,4897,narv_sturtevant_41_xx443.jpg,https://cudl.colorado.edu//luna/servlet/detail/CUB~26~26~155~294214
Sturtevant Plates,A family of three adults and three children pose for portrait outside their log cabin,"Sturtevant, J. Bevier (Joseph Bevier), 1851-1910",http://id.worldcat.org/fast/352744,Still image,http://id.loc.gov/vocabulary/resourceTypes/img,Photographs,http://id.loc.gov/authorities/genreForms/gf2017027249,1886/1910,English,http://id.loc.gov/vocabulary/iso639-2/eng,eng,1 glass plate negative,glass plate negatives,http://vocab.getty.edu/page/aat/300393160,black-and-white photographs,http://vocab.getty.edu/page/aat/300128347,"A family of three adults and three children standing in a line to pose for a portrait outside their log cabin with a wagon, livestock, and horses also outside the home.",Log cabins,http://id.worldcat.org/fast/1001885,Portraits,http://id.worldcat.org/fast/1072324,Dwellings,http://id.worldcat.org/fast/899978,Families,http://id.worldcat.org/fast/1728849,,,"[Colorado (United States, North America) (first order administrative division)]",http://id.loc.gov/authorities/names/n80125532,,,narv_sturtevant_41_xx442.jpg,https://ark.colorado.edu/ark:/47540/wj3f9529n0cs,CU Museum of Natural History,COU: 1111,2020,image/jpeg,reformatted digital,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/,154,4897,narv_sturtevant_41_xx442.jpg,https://cudl.colorado.edu//luna/servlet/detail/CUB~26~26~154~294215
